,country,imr_index_full,ln_y_bln,omr_index_full,welfare_index_full,tot_exports_index_full,fgp_index_full,imr_index_cdl,omr_index_cdl,welfare_index_cdl,tot_exports_index_cdl
0,AGO,-0.19340985,10.880322,0.44067132,-0.18312803,0.11433025,-0.37617916,-0.2974622,0.3682116,0.2983471,-0.19457021
1,ARE,-0.19272067,12.358349,0.3769232,-0.12947947,-0.096996896,-0.32195058,-0.28568715,0.31360728,0.28650698,-0.3910442
2,ARG,-0.23517223,12.864516,0.44932225,-0.14871077,0.055416018,-0.38353345,-0.34830835,0.37562168,0.3495289,-0.2904045
3,AUS,-0.25441995,14.082735,0.46783724,-0.14521742,-0.032524385,-0.39926958,-0.37369898,0.39147997,0.37510708,-0.39637783
4,AUT,-0.18649659,12.970944,-0.49940452,0.6177047,2.7627418,0.43005583,-0.07207244,-0.4375256,0.07212486,2.657942
5,BDI,-0.1533054,7.9282618,0.44949973,-0.23073334,0.22434083,-0.3836844,-0.25514615,0.37577322,0.255795,-0.07826788
6,BEL,-0.14944738,13.14926,-0.46256137,0.5484593,1.8656378,0.39819193,-0.045549247,-0.40592706,0.045573283,1.8066951
7,BEN,-0.17062363,9.658246,0.4307328,-0.19744606,0.14703849,-0.36772847,-0.27217567,0.35969898,0.27291346,-0.15944058
8,BFA,-0.16381972,9.794251,0.43712807,-0.20968717,0.14498886,-0.37316722,-0.26479205,0.36517775,0.26549754,-0.15549235
9,BGD,-0.21273644,12.825384,0.40155062,-0.13045004,-0.021218656,-0.3429083,-0.31287858,0.33470303,0.31385577,-0.33415827
10,BGR,-0.58295035,11.112133,-0.81235355,1.292077,2.909336,0.7015964,-0.43514,-0.70599544,0.43704027,2.7233057
11,BOL,-0.21439168,10.507763,0.4842133,-0.19921717,0.18776846,-0.41318202,-0.33275372,0.40550557,0.33386368,-0.16730462
12,BRA,-0.24043176,14.180314,0.44302884,-0.13808393,-0.036728986,-0.37818357,-0.35257125,0.37023145,0.3538233,-0.37935182
13,BWA,-0.18978997,9.604945,0.48432338,-0.22391258,0.19231546,-0.41327628,-0.30580187,0.40559977,0.3067427,-0.15325117
14,CAF,-0.14321856,7.7520976,0.45514637,-0.24561396,0.2604006,-0.38848436,-0.24438857,0.3806099,0.24499393,-0.038579002
15,CAN,-0.46955973,14.3112545,0.93587166,-0.32724065,-0.043587707,-0.7952663,-0.7185223,0.792214,0.7237246,-0.7492527
16,CHE,-0.078702986,13.512971,0.19049594,-0.08435716,-0.35712218,-0.16299434,-0.11555183,0.15389289,0.11568746,-0.46708047
17,CHL,-0.23755048,12.43118,0.4582147,-0.15390733,0.043958623,-0.39109114,-0.35275406,0.38323808,0.35399932,-0.30554864
18,CHN,-0.23992269,16.491554,0.42289206,-0.121429496,0.07597486,-0.36106136,-0.346836,0.35298347,0.34804377,-0.2403471
19,CIV,-0.18804231,11.021507,0.42292094,-0.17337224,0.03391603,-0.36108547,-0.28980568,0.35300863,0.29064602,-0.2731045
20,CMR,-0.18895784,10.616377,0.4545403,-0.19938576,0.10806744,-0.38796866,-0.2983765,0.3800909,0.29927033,-0.2198098
21,COG,-0.17026158,9.255864,0.44474676,-0.20973995,0.23035526,-0.3796436,-0.2727681,0.37170208,0.27351582,-0.07415005
22,COL,-0.24066031,12.492596,0.47481087,-0.16493423,-0.022227986,-0.4051948,-0.361092,0.39745292,0.36239994,-0.39226103
23,COM,-0.15369816,7.108602,0.45440263,-0.2345107,0.238148,-0.3878516,-0.25649723,0.37997314,0.2571573,-0.06738541
24,CPV,-0.14649634,7.439719,0.48516753,-0.26788932,0.20714018,-0.41399238,-0.2561783,0.4063232,0.2568376,-0.11383225
25,CRI,-0.23566337,10.993447,0.4999937,-0.19136982,-0.010220736,-0.42658558,-0.36145288,0.41902146,0.36276525,-0.3901643
26,CYP,-0.7818108,10.089471,-0.88733023,1.560903,4.093655,0.76688933,-0.6273533,-0.77033365,0.63131404,3.8406754
27,CZE,-0.25246808,12.399935,-0.67546463,0.8372076,2.6891456,0.5826244,-0.11397142,-0.5885485,0.11410467,2.5563877
28,DJI,-0.14889915,8.0047455,0.42433524,-0.21371116,0.13535944,-0.36228913,-0.24694118,0.35421908,0.24754876,-0.16041224
29,DNK,-0.22550009,12.770728,-0.5847621,0.7311107,4.506636,0.5039614,-0.09576034,-0.5107406,0.09585679,4.3175325
30,DZA,-0.1485951,11.881501,0.36048028,-0.15959124,-0.099636704,-0.30795172,-0.2321998,0.29952186,0.2327434,-0.3549863
31,ECU,-0.23519583,11.4747095,0.4858025,-0.17976165,0.05602608,-0.41453284,-0.35709316,0.40686652,0.3583737,-0.31283683
32,EGY,-0.1774416,12.800228,0.35957065,-0.1299657,-0.1666852,-0.30717763,-0.26488334,0.29874355,0.2655861,-0.44388092
33,ERI,-0.14871901,5.7005496,0.49331823,-0.27260065,0.31817597,-0.42091694,-0.2592944,0.41330302,0.25997013,-0.0065677892
34,ESP,-0.13891323,14.052902,-0.4039877,0.48716807,5.911975,0.34757876,-0.0341397,-0.3556955,0.034154445,5.7222295
35,EST,-0.7655475,10.312567,-1.0514067,1.688571,2.7072005,0.91009396,-0.59068733,-0.9111532,0.59420156,2.4883616
36,ETH,-0.20079029,11.5856695,0.4386087,-0.17398985,0.019053472,-0.37442613,-0.30837917,0.3664444,0.3093247,-0.30828434
37,FIN,-0.34238556,12.508101,-0.6487542,0.9049289,4.292193,0.5594457,-0.20531538,-0.5656336,0.20573893,4.0954475
38,FRA,-0.08569241,14.776849,-0.28828028,0.3337388,4.032116,0.24776034,-0.0054358128,-0.2564773,0.005432053,3.9150734
39,GAB,-0.16767941,9.63649,0.442151,-0.21010765,0.15938586,-0.3774377,-0.26983634,0.36947867,0.27056524,-0.1445541
40,GBR,-0.13593274,14.820938,0.26790303,-0.09325893,-0.70805687,-0.22906107,-0.1992138,0.220213,0.19961075,-0.9559314
41,GHA,-0.20562401,11.156567,0.46027547,-0.18760148,0.04385981,-0.3928434,-0.318323,0.38500303,0.3193423,-0.29466033
42,GIN,-0.16459571,9.401896,0.4607088,-0.22899736,0.18387401,-0.39321157,-0.2706661,0.3853747,0.27139512,-0.12949215
43,GMB,-0.15785512,7.5032897,0.51868814,-0.2850546,0.24539478,-0.4424591,-0.27777225,0.4350314,0.278544,-0.10429781
44,GNB,-0.14130549,7.2480097,0.48369852,-0.27182144,0.26567322,-0.4127451,-0.24868,0.40506473,0.24930304,-0.048102714
45,GNQ,-0.16578059,9.218812,0.4410389,-0.21106403,0.17632505,-0.3764915,-0.26687974,0.3685272,0.26759323,-0.124072276
46,GRC,-0.43561468,12.128665,-0.53813344,0.9031223,5.448553,0.46357405,-0.3209192,-0.47074443,0.3219539,5.2107096
47,HKG,-0.24356648,13.180356,0.44279346,-0.1347465,0.08429008,-0.37798324,-0.35582727,0.37002972,0.35709321,-0.2602721
48,HRV,-0.6085177,10.898017,-0.850936,1.3519295,3.284979,0.7351834,-0.4498638,-0.73910195,0.45189804,3.1029792
49,HUN,-0.3564581,11.935613,-0.70810777,0.9708841,3.142667,0.6109672,-0.21050514,-0.6165529,0.21094403,2.9900649
50,IDN,-0.22543861,13.8650875,0.41286087,-0.12737507,-0.023317635,-0.3525299,-0.3289842,0.34439203,0.33007145,-0.3404216
51,IND,-0.23218746,14.788408,0.42354912,-0.12973914,-0.014657777,-0.36162025,-0.33921945,0.35354626,0.3403659,-0.34738317
52,IRL,-0.1941095,12.9543495,-1.0562398,1.110583,5.4575367,0.9143187,0.019287856,-0.91530097,-0.019285263,5.1601524
53,IRN,-0.18432309,12.337234,0.3822688,-0.14243804,-0.06680657,-0.3264996,-0.2769011,0.31818634,0.27767104,-0.35283902
54,ISL,-0.15630542,9.980436,0.4449474,-0.22385663,0.032425337,-0.37981486,-0.2589389,0.3718744,0.2596135,-0.27205992
55,ISR,-0.20084685,12.902714,0.3899749,-0.13247643,-0.16773875,-0.3330577,-0.29759434,0.32478815,0.29848334,-0.47311088
56,ITA,-0.046576682,14.441396,-0.41991168,0.4081009,5.1138,0.36133322,0.06469241,-0.36935067,-0.06464743,4.938188
57,JPN,-0.23584293,15.420936,0.41875345,-0.1219859,-0.082588926,-0.35754156,-0.34186876,0.34943917,0.34304422,-0.40758213
58,KAZ,-0.2024358,12.021414,0.41559228,-0.15272273,0.10783809,-0.354852,-0.30276355,0.34673163,0.3036878,-0.19502608
59,KEN,-0.20510761,11.514503,0.43817267,-0.16929142,0.015253281,-0.374055,-0.31364417,0.36607182,0.31463057,-0.3176377
60,KOR,-0.23587726,14.288365,0.42398098,-0.12640737,0.0016347802,-0.36198744,-0.34272632,0.35391557,0.34390244,-0.32009172
61,LBR,-0.16198917,8.019243,0.4877197,-0.2545833,0.11665145,-0.41616133,-0.2785934,0.40850928,0.27937755,-0.2307066
62,LBY,-0.1455013,10.863172,0.3887551,-0.18679039,0.040148735,-0.3320205,-0.23370275,0.32374245,0.23424715,-0.2250452
63,LKA,-0.2001775,11.294935,0.40874147,-0.14914928,-0.01915979,-0.34902534,-0.3004834,0.34086335,0.3013852,-0.32761908
64,LSO,-0.17575385,7.7189717,0.5042454,-0.25488895,0.28412753,-0.430197,-0.29344958,0.42266187,0.2943159,-0.06323301
65,LTU,-0.59207785,10.908816,-0.92698276,1.4018383,2.5699985,0.80145663,-0.42982647,-0.804362,0.43168354,2.3797266
66,LUX,-0.35777348,11.199844,-0.57146823,0.85327035,1.4457414,0.49244368,-0.24813698,-0.49933589,0.2487573,1.375273
67,LVA,-0.74112386,10.408175,-1.0261645,1.6413213,2.593718,0.8880334,-0.5694405,-0.8894869,0.57270426,2.3807158
68,MAR,-0.15920414,11.644775,0.37672144,-0.16283384,-0.11546001,-0.32177922,-0.24806418,0.31343514,0.24867725,-0.38730773
69,MDG,-0.17020021,9.488508,0.44134325,-0.20689829,0.14727466,-0.37675026,-0.2730902,0.36878717,0.27384248,-0.16077092
70,MEX,-0.37936395,13.891379,0.72534055,-0.23910567,-0.07288252,-0.61756223,-0.57033026,0.61198914,0.5735982,-0.6258541
71,MLI,-0.15994619,9.767326,0.44402942,-0.21943814,0.16383839,-0.3790342,-0.26214167,0.3710883,0.26282924,-0.1393601
72,MLT,-1.0767564,9.603094,-0.9308465,1.9020604,6.525467,0.8048265,-0.90939975,-0.8076778,0.9177465,6.235705
73,MOZ,-0.17503266,9.54742,0.4372277,-0.19856514,0.11576932,-0.37325168,-0.27916092,0.36526173,0.27994633,-0.19902088
74,MRT,-0.14907612,8.9650135,0.46592733,-0.24893749,0.20788598,-0.39764583,-0.25440627,0.38984466,0.25506282,-0.101724856
75,MUS,-0.19198819,9.296081,0.45496213,-0.19671378,0.07634418,-0.38832676,-0.3024973,0.38045213,0.30341762,-0.25710008
76,MWI,-0.18590423,9.404706,0.47875193,-0.22305144,0.17922847,-0.40854228,-0.30000558,0.4008285,0.30090913,-0.16023806
77,MYS,-0.22529069,12.691086,0.42367277,-0.136741,0.10647192,-0.36172488,-0.33043438,0.35365263,0.33153605,-0.21225893
78,NAM,-0.18442094,9.2293415,0.4985702,-0.24140504,0.25187212,-0.4253774,-0.3018316,0.417802,0.3027433,-0.09499855
79,NER,-0.15534921,9.528155,0.43575767,-0.21698762,0.18734117,-0.37200108,-0.2550344,0.36400416,0.25569168,-0.10969094
80,NGA,-0.22153088,12.975534,0.4352528,-0.15037256,-0.08391444,-0.37157258,-0.33062756,0.36357114,0.33172423,-0.4192547
81,NLD,-0.06496393,13.695677,-0.51709926,0.51065874,3.5084472,0.44536617,0.057613075,-0.4527033,-0.05758229,3.3647027
82,NOR,-0.14181064,12.797471,0.3211498,-0.1328306,-0.2821907,-0.2744526,-0.21458593,0.26583028,0.21504627,-0.5035581
83,NZL,-0.24975805,12.247915,0.4810648,-0.16114879,-0.00946486,-0.41050813,-0.37215593,0.4028088,0.37355444,-0.38391373
84,PAK,-0.21894944,12.60687,0.43240437,-0.15052941,0.093696415,-0.36914992,-0.32662883,0.36113116,0.3276992,-0.23800516
85,PER,-0.23733513,12.210168,0.47009438,-0.1642442,0.06372361,-0.4011866,-0.3556647,0.3934126,0.35693032,-0.2964457
86,PHL,-0.22491972,12.791976,0.42867476,-0.14138031,-0.087161526,-0.36597946,-0.3333367,0.3579356,0.33444595,-0.43099606
87,POL,-0.20960626,13.287678,-0.49420148,0.636493,4.264459,0.42555425,-0.095947444,-0.43306324,0.096040495,4.0799375
88,PRT,-0.4016298,12.332146,-0.6381955,0.95575565,5.953374,0.5502861,-0.26188508,-0.5565758,0.26257467,5.7428102
89,PRY,-0.21261941,10.470638,0.47259635,-0.19109698,0.1624962,-0.40331337,-0.3282424,0.39555565,0.3293297,-0.18552338
90,ROM,-0.3707804,12.412582,-0.5609917,0.8573292,5.165592,0.483368,-0.24782607,-0.4903505,0.24844146,4.94733
91,RUS,-0.17871018,14.186643,0.35564688,-0.1253539,-0.15043974,-0.3038374,-0.26203784,0.29538262,0.26272494,-0.39694256
92,RWA,-0.17878965,9.224998,0.46687627,-0.22005516,0.18289155,-0.39845282,-0.28897673,0.3906562,0.2898191,-0.14454748
93,SAU,-0.20386328,13.438367,0.38948768,-0.12904516,-0.03958112,-0.3326432,-0.29935223,0.32437032,0.3002528,-0.32936928
94,SDN,-0.16127059,10.188817,0.41338477,-0.19201379,0.11176432,-0.3529745,-0.2578249,0.34484068,0.25849625,-0.18036976
95,SEN,-0.1694528,10.099183,0.43340844,-0.20088963,0.017796276,-0.37000382,-0.27279907,0.36199075,0.27355218,-0.2938453
96,SGP,-0.23897517,12.681799,0.43790907,-0.13517578,0.010604965,-0.37383127,-0.3499425,0.36584625,0.35117272,-0.33200118
97,SLE,-0.16406141,8.309371,0.51459926,-0.2753749,0.23846613,-0.43898717,-0.28350386,0.43153006,0.28430957,-0.11052804
98,SOM,-0.17080237,8.815515,0.4779457,-0.23745704,0.23841643,-0.40785825,-0.28259665,0.4001373,0.2834028,-0.09376934
99,STP,-0.14126194,6.1374087,0.47178483,-0.26173055,0.2696868,-0.40262315,-0.24559666,0.39486077,0.24620046,-0.036975406
100,SVK,-0.3733662,11.551335,-0.7546605,1.0286267,2.321897,0.65141714,-0.22314145,-0.6564938,0.22363897,2.2016597
101,SVN,-0.4944588,10.810045,-0.8693337,1.2518529,1.9352906,0.7512085,-0.33388764,-0.7548902,0.3350016,1.817958
102,SWE,-0.22376609,13.19614,-0.5842899,0.72894996,5.381282,0.5035529,-0.08886583,-0.5103353,0.08894447,5.1644063
103,SWZ,-0.18173319,8.29065,0.49629688,-0.24215548,0.26118335,-0.4234461,-0.29836416,0.4158552,0.29925552,-0.08382747
104,SYC,-0.16214989,6.8367834,0.48671988,-0.25357565,0.257434,-0.41531163,-0.27411756,0.4076522,0.27486944,-0.072866015
105,TCD,-0.15119126,9.27926,0.43812773,-0.22316207,0.20684783,-0.3740163,-0.25013152,0.3660333,0.25075653,-0.087573685
106,TGO,-0.15723136,8.932507,0.4242216,-0.20528613,0.074373744,-0.36219227,-0.2575786,0.35412258,0.2582421,-0.22987193
107,THA,-0.22355941,13.080442,0.41794696,-0.13359599,0.026332783,-0.3568558,-0.32753477,0.34874827,0.32861328,-0.28806818
108,TTO,-0.23400156,9.901865,0.5534409,-0.23851104,0.06779344,-0.47195318,-0.37218627,0.46479365,0.373578,-0.3407255
109,TUN,-0.1337334,10.631257,0.3702484,-0.18277833,-0.026102541,-0.3162678,-0.21685533,0.3078899,0.21732831,-0.2769592
110,TUR,-0.16017984,13.446606,0.32711142,-0.11954695,-0.35188717,-0.2795317,-0.23766467,0.27093706,0.23823221,-0.5958222
111,TZA,-0.20156561,11.040868,0.45124996,-0.18398046,0.07430159,-0.3851721,-0.31225172,0.37727296,0.3132238,-0.26114103
112,UGA,-0.19503927,10.524373,0.4559377,-0.19449756,0.109228425,-0.38915613,-0.3055366,0.3812875,0.3064751,-0.22329229
113,UKR,-0.12718144,11.925846,0.33443013,-0.15878956,-0.19799347,-0.2857667,-0.20013517,0.27720648,0.20053703,-0.41805863
114,URY,-0.218627,10.865288,0.4580195,-0.17267704,0.12527373,-0.39092606,-0.33218804,0.38307133,0.33328977,-0.22047742
115,USA,-0.92691845,16.850815,1.2473776,-0.13124539,24.168573,-1.0569426,-1.2562848,1.0587802,1.27226,23.831991
116,VNM,-0.2236638,12.715257,0.42205128,-0.1369861,0.0833045,-0.36034665,-0.32861158,0.3522635,0.32969636,-0.23656678
